f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,grade
180,4.3945205479,0,12.1666666667,365,32,316,39,30,81,42,140,9
253,4.2203098107,5,17.6060606061,581,34,473,60,33,142,65,141,10
188,4.7046632124,1,15.44,386,26,322,67,25,90,65,142,10
151,3.9738562092,0,16.1052631579,306,17,241,29,19,82,26,143,7
183,4.1569506726,0,14.3870967742,446,27,369,39,31,104,45,144,9
196,5.0931506849,0,15.2083333333,365,27,291,46,24,101,82,145,10
96,4.0324324324,0,61.6666666667,185,11,149,3,3,47,10,146,6
305,4.540765391,4,15.4102564103,601,48,483,55,39,166,72,147,12
150,4.2768729642,1,17.0555555556,307,25,254,23,18,78,23,148,9
150,4.2123287671,3,21.9,438,40,371,28,20,107,41,149,8
147,4.1433224756,0,12.7916666667,307,15,219,36,24,103,29,150,8
133,4.0890688259,1,35.2857142857,247,10,204,10,7,53,19,151,8
75,4.8488372093,1,15.6363636364,172,19,140,16,11,51,22,152,6
174,4.0636182903,2,17.3448275862,503,27,432,46,29,98,34,153,9
205,4.4627906977,2,13.0303030303,430,27,343,68,33,114,65,154,12
197,4.3727272727,1,15.1724137931,440,37,355,50,29,122,58,155,10
166,3.9360465116,3,11.4666666667,344,26,296,47,30,74,30,156,8
219,4.3524229075,1,15.6551724138,454,38,352,48,29,140,60,157,9
185,4.7887323944,2,13.6538461538,355,26,272,35,26,109,60,158,9
229,4.4692144374,0,12.7297297297,471,39,382,78,37,128,70,159,10
127,4.2385964912,0,13.5714285714,285,21,242,37,21,64,24,160,8
156,4.3176470588,1,14.1666666667,425,27,344,54,30,108,42,161,10
259,4.4972375691,3,18.1,543,30,428,61,30,145,72,162,12
148,4.8025751073,1,10.5909090909,233,17,176,24,22,74,43,163,8
128,4.7630522088,0,27.6666666667,249,25,200,29,9,74,36,164,8
202,4.4854881266,2,12.6333333333,379,32,310,48,30,101,40,165,9
278,4.3930530165,2,16.5757575758,547,52,453,58,33,146,59,166,10
162,3.8794117647,2,17,340,24,288,39,20,76,20,167,8
191,4.609375,5,28,448,50,387,33,16,111,55,168,9
105,4.9735099338,0,15.1,151,10,118,24,10,43,26,169,6
152,4.1568047337,5,16.0952380952,338,25,292,31,21,71,30,170,8
115,3.9814241486,0,64.6,323,26,284,6,5,65,24,171,8
127,4.0968992248,2,43,258,15,220,6,6,53,19,172,8
133,4.3125,0,21.3333333333,256,16,207,32,12,65,23,173,8
202,4.212034384,0,13.96,349,22,283,27,25,88,29,174,8
173,4.4156626506,2,15.8095238095,332,27,276,32,21,83,37,175,8
205,4.3155216285,0,17.8636363636,393,27,326,37,22,94,45,176,10
173,3.7750759878,1,14.3043478261,329,20,273,34,23,76,25,177,8
145,4.662962963,0,13.5,270,14,190,35,20,94,23,178,8
146,4.5978647687,0,12.2173913043,281,28,230,35,23,79,49,179,8
184,3.9279279279,1,14.8,444,40,381,49,30,103,27,180,10
216,4.6844444444,0,15,450,30,341,68,30,139,73,181,10
127,4.2046979866,0,16.5555555556,298,21,245,24,18,74,18,182,8
192,4.5202020202,1,15.2307692308,396,34,328,58,26,102,42,183,8
142,3.8762886598,0,24.25,388,18,333,18,16,73,23,184,8
177,4.1220556745,2,16.6785714286,467,19,380,36,28,106,47,185,8
139,4.380952381,1,15.2727272727,336,27,275,30,22,88,38,186,8
68,4.1785714286,0,37.3333333333,112,8,90,4,3,30,10,187,5
186,4.2077294686,3,18,414,29,345,24,23,98,38,188,9
83,4.7421875,0,6.4,128,6,94,22,20,40,22,189,6
187,4.5507692308,0,14.1304347826,325,32,276,47,23,81,45,190,10
122,4.464,0,15.625,250,12,218,24,16,44,28,191,8
201,4.5,3,12.2,488,36,385,62,40,139,48,192,11
188,4.3208955224,3,13.8620689655,402,27,327,35,29,102,52,193,8
254,4.3674242424,3,15.5294117647,528,42,429,65,34,141,56,194,10
92,4.224,0,12.5,125,11,106,17,10,30,9,195,5
154,3.8776041667,1,13.7142857143,384,23,308,33,28,99,28,196,8
209,3.8695652174,7,20.3461538462,529,25,442,46,26,112,35,197,10
199,4.5529411765,2,18.4782608696,425,35,351,48,23,109,66,198,10
298,4.1655540721,4,19.2051282051,749,50,588,86,39,211,59,199,11
151,4.325136612,3,13.5555555556,366,22,292,32,27,96,34,200,8
213,4.4264339152,2,14.8518518519,401,42,348,39,27,95,55,201,9
181,4.4734042553,0,13.4285714286,376,32,325,36,28,83,43,202,8
195,3.9724950884,2,18.8518518519,509,23,445,29,27,87,41,203,10
176,4.2864721485,2,11.4242424242,377,13,294,45,33,96,39,204,10
301,4.3032928943,3,12.0208333333,577,47,483,81,48,141,59,205,10
194,4.5355191257,2,14.0769230769,366,31,297,50,26,100,49,206,10
148,4.3888888889,1,11.52,288,17,236,30,25,69,33,207,8
74,4.96,2,15,150,13,116,18,10,47,32,208,6
97,4.1090909091,0,20.625,165,15,143,10,8,37,14,209,6
201,4.5529715762,0,14.3333333333,387,41,331,41,27,97,54,210,9
99,3.9790575916,1,15.9166666667,191,15,167,13,12,39,22,211,6
125,3.9040590406,2,13.55,271,16,216,25,20,71,16,212,7
127,3.6625386997,0,16.15,323,13,278,28,20,58,13,213,8
176,4.4935483871,1,20.6666666667,310,18,225,24,15,103,39,214,8
252,4.6234234234,2,17.9032258065,555,52,418,48,31,189,75,215,10
191,4.0982800983,0,20.35,407,22,343,28,20,86,22,216,8
240,4.0805243446,2,13.35,534,26,444,85,40,116,41,217,10
183,4,0,13.0769230769,340,23,272,29,26,91,21,218,8
190,4.2141057935,3,17.2608695652,397,23,315,33,23,105,38,219,9
233,4.462962963,1,10.5365853659,432,31,329,54,41,134,54,220,10
119,4.4492753623,0,10.8947368421,207,17,170,24,19,54,21,221,6
213,4.5238095238,6,15.75,441,22,312,58,28,151,53,222,9
186,4.1270207852,0,28.8666666667,433,23,325,39,15,131,38,223,8
154,4.2645348837,4,16.380952381,344,20,263,27,21,101,25,224,8
254,4.1452205882,1,12.3636363636,544,36,464,67,44,116,56,225,12
122,4.5080645161,1,12.4,248,17,197,28,20,68,26,226,8
165,4.3875338753,1,13.6666666667,369,21,283,36,27,107,35,227,9
130,4.4315068493,0,26.5454545455,292,21,220,34,11,93,28,228,8
157,3.985915493,3,11.8333333333,284,23,249,29,24,58,15,229,8
198,4.1986899563,2,14.7741935484,458,25,372,46,31,111,45,230,9
155,4.3785714286,1,12.1739130435,280,20,227,29,23,73,33,231,8
279,4.4842300557,3,14.5675675676,539,42,442,92,37,139,67,232,12
138,4.7857142857,1,16.3333333333,196,23,156,16,12,63,32,233,7
172,4.2902439024,2,12.8125,410,30,340,44,32,100,49,234,8
147,4.1879194631,6,15.6842105263,298,21,248,29,19,71,35,235,7
113,3.8069306931,1,20.2,202,13,173,14,10,42,10,236,6
169,4.3862928349,3,16.8947368421,321,12,255,27,19,78,40,237,8
162,4.1515151515,0,25.3846153846,330,34,296,16,13,68,27,238,9
151,4.3919821826,1,21.380952381,449,35,390,30,21,94,51,239,9
153,4.2890625,1,12.8,256,10,178,36,20,88,27,240,8
132,4.2672064777,1,20.5833333333,247,13,195,18,12,65,19,241,9
182,4.2281105991,0,14,434,17,333,59,31,118,45,242,9
223,3.8499210111,0,18.6176470588,633,30,531,54,34,132,41,243,11
160,3.9204545455,1,23.4666666667,352,29,310,19,15,71,16,244,7
90,4.1428571429,0,24,168,6,140,7,7,34,16,245,7
290,4.3175572519,2,14.8863636364,655,45,550,73,44,150,67,246,11
196,4.1951807229,3,14.8214285714,415,27,341,61,28,101,35,247,8
187,3.9979466119,0,11.8780487805,487,41,424,49,41,104,33,248,9
145,4.4513274336,1,14.7391304348,339,38,259,44,23,118,53,249,9
168,4.4469453376,1,12.9583333333,311,26,255,42,24,82,31,250,10
241,4.1075837743,0,21,567,35,489,53,27,113,48,251,9
179,4.2626506024,0,15.9615384615,415,25,339,31,26,101,45,252,9
111,3.9957446809,0,16.7857142857,235,21,207,18,14,49,23,253,6
258,3.9250425894,1,17.7878787879,587,27,480,47,33,134,39,254,10
174,4.1003039514,0,13.7083333333,329,16,266,36,24,79,29,255,8
155,4.1660899654,1,19.2666666667,289,23,238,28,15,74,22,256,8
168,4.1296296296,2,21.6,432,28,353,26,20,107,31,257,8
223,4.4536862004,2,20.3461538462,529,44,458,46,26,115,70,258,11
227,4.3472222222,3,16,432,28,361,66,27,99,60,259,9
163,4.2523961661,4,10.4333333333,313,22,266,32,30,69,36,260,7
184,4.3468468468,4,14.8,444,27,357,57,30,114,48,261,9
129,3.9283276451,0,24.4166666667,293,15,253,15,12,55,22,262,8
248,4.5438931298,7,17.4666666667,524,40,398,49,30,166,60,263,10
167,4.1926121372,0,19.9473684211,379,28,315,25,19,92,36,264,8
237,4.1654501217,2,11.4166666667,411,31,333,56,36,109,31,265,11
184,4.5675,0,15.3846153846,400,26,318,73,26,108,64,266,11
234,4.6315789474,5,19.8260869565,456,27,349,48,23,134,64,267,10
147,4.3911439114,0,15.9411764706,271,16,233,24,17,54,36,268,8
202,4.1990049751,0,19.1428571429,402,16,315,42,21,103,40,269,9
166,4.0381679389,3,15.1153846154,393,30,346,38,26,77,25,270,8
148,4.0185185185,0,16.2,324,11,276,35,20,59,31,271,8
243,4.2113207547,1,13.5897435897,530,44,433,84,39,141,47,272,10
146,4.3288135593,1,26.8181818182,295,24,233,12,11,86,21,273,8
181,4.0971867008,1,13.9642857143,391,25,315,43,28,101,40,274,9
194,4.7037974684,2,14.6296296296,395,37,313,48,27,119,63,275,11
135,4.2981132075,0,14.7222222222,265,18,218,20,18,65,24,276,8
209,4.2642857143,3,17.5,420,28,343,47,24,105,41,277,9
164,4.6118421053,1,13.8181818182,304,23,257,34,22,70,40,278,8
207,4.5972850679,2,13,442,30,349,50,34,123,68,279,10
196,4.2172839506,0,11.9117647059,405,29,315,43,34,119,39,280,10
96,4.28,0,14.0625,225,17,179,25,16,63,28,281,7
157,4.5047318612,0,15.85,317,16,241,31,20,92,41,282,8
125,3.8666666667,1,20.4545454545,225,8,191,14,11,42,19,283,6
142,4.1498371336,1,20.4666666667,307,20,254,23,15,73,27,284,8
284,4.1299638989,3,19.1034482759,554,34,464,56,29,124,53,285,11
51,4.0615384615,0,13,65,2,46,7,5,21,5,286,4
253,4.2730496454,1,17.0909090909,564,34,447,55,33,151,61,287,12
161,4.2643678161,1,13.3846153846,348,18,287,34,26,79,36,288,8
210,4.3851851852,1,19.2857142857,405,32,336,45,21,101,50,289,10
273,4.5353901996,4,18.3666666667,551,49,470,57,30,130,72,290,11
228,4.5814479638,2,13,442,34,356,63,34,120,66,291,11
258,4.4383301708,7,13.5128205128,527,28,400,61,39,155,69,292,11
111,4.0362903226,2,13.7777777778,248,21,214,21,18,55,20,293,8
189,4.0792291221,0,17.9615384615,467,23,374,31,26,116,38,294,10
173,4.6416184971,0,13.3076923077,346,27,283,46,26,90,43,295,10
173,4.04743083,4,22,506,26,417,37,23,115,40,296,10
213,4.5607675906,1,16.1724137931,469,33,377,54,29,125,54,297,9
140,4.2879581152,1,14.6923076923,382,31,327,34,26,86,38,298,8
128,4.1213017751,2,16.0952380952,338,31,289,33,21,80,29,299,8
244,4.1650099404,3,12.8974358974,503,27,392,66,39,138,51,300,8
186,4.2905027933,4,12.3448275862,358,21,269,51,29,110,38,301,9
253,4.6736111111,3,12,576,46,458,73,48,164,95,302,10
214,4.2583518931,1,16.0357142857,449,38,382,66,28,105,46,303,10
197,4.2547169811,0,20.3846153846,530,30,412,40,26,148,45,304,9
182,3.9754601227,3,16.8620689655,489,24,393,67,29,120,39,305,10
204,4.2807017544,1,14.7096774194,456,26,386,48,31,96,42,306,8
193,4.361516035,2,12.7037037037,343,18,285,47,27,76,33,307,9
64,3.8125,0,64,128,3,108,5,2,23,7,308,6
196,4.3065326633,1,22.1111111111,398,28,325,21,18,101,27,309,9
163,4.5258855586,2,20.3888888889,367,32,293,31,18,106,48,310,10
158,4.1126760563,0,12.6785714286,355,14,281,43,28,88,34,311,9
105,3.9188034188,0,11.7,234,23,204,25,20,53,8,312,7
201,4.3668478261,0,16.7272727273,368,25,299,31,22,94,46,314,9
219,4.6833333333,0,18.2608695652,420,45,348,51,23,117,62,315,10
244,4.5900735294,1,17.5483870968,544,41,441,75,31,144,72,316,9
210,4.6820925553,2,14.6176470588,497,36,400,52,34,133,93,317,10
168,4.365914787,0,19,399,26,324,26,21,101,39,318,8
191,4.5080645161,0,12.4,372,19,290,56,30,101,55,319,9
185,4.1651376147,2,27.25,327,26,262,23,12,91,24,320,8
271,4.3624535316,4,17.3548387097,538,54,427,50,31,165,62,321,12
149,4.2423312883,0,18.1111111111,326,14,263,29,18,77,30,322,8
183,4.1507177033,4,15.4814814815,418,29,361,30,27,86,33,323,10
162,4.3601190476,2,16.8,336,19,269,34,20,86,27,324,8
182,4.102244389,5,21.1052631579,401,35,355,49,19,81,37,325,9
296,4.7153729072,5,16.0243902439,657,51,521,77,41,187,101,326,10
149,3.8712871287,0,14.962962963,404,26,348,31,27,82,22,327,6
177,4.2419825073,0,11.4333333333,343,23,281,31,30,85,36,328,8
134,3.8732394366,2,19.7222222222,355,24,313,23,18,66,22,329,8
244,4.4226006192,1,17,646,34,485,66,38,195,81,330,11
246,4.2400835073,2,13.6857142857,479,32,408,69,35,103,51,331,10
169,4.1598639456,1,14.7,294,10,219,27,20,85,22,332,8
169,4.2404092072,0,12.6129032258,391,20,306,58,31,105,38,333,9
271,4.1032531825,1,15.7111111111,707,42,568,48,45,181,72,334,10
174,4.1710144928,1,21.5625,345,23,284,28,16,84,33,335,9
278,4.4868913858,7,14.8333333333,534,41,441,66,36,134,61,336,11
178,4.8315789474,0,11.4,285,31,224,41,25,92,51,337,10
104,4.0509259259,0,24,216,4,170,11,9,50,20,338,8
234,4.2787193974,4,22.125,531,36,424,44,24,143,55,339,11
186,4.6317280453,1,12.1724137931,353,33,292,46,29,94,61,340,9
138,4.2234042553,2,18.8,282,18,229,25,15,71,29,341,8
204,4.4956140351,2,16.2857142857,456,29,341,54,28,144,48,342,9
176,4.3896457766,1,13.5925925926,367,26,291,40,27,102,48,343,9
217,4.1134259259,6,24,432,24,335,39,18,121,38,345,10
278,4.2370689655,1,21.75,696,61,580,84,32,177,62,346,12
134,3.9806949807,1,21.5833333333,259,22,232,16,12,49,19,347,7
156,4.0372670807,3,21.4666666667,322,14,245,19,15,91,25,348,8
154,4.063670412,1,17.8,267,22,231,19,15,58,21,349,8
143,4.0631067961,3,15.2592592593,412,17,327,35,27,102,42,350,8
177,4.5730337079,1,10.7878787879,356,19,280,38,33,95,42,351,9
99,4.3744493392,1,20.6363636364,227,7,175,19,11,59,16,352,7
61,3.984375,0,11.6363636364,128,5,100,10,11,33,14,353,5
119,4.5490196078,0,12.75,255,15,188,29,20,82,36,354,8
98,3.803652968,0,16.8461538462,219,12,187,22,13,44,22,355,6
180,4.3672727273,4,12.5,275,15,212,42,22,78,35,356,8
148,4.4653846154,0,14.4444444444,260,26,226,29,18,60,34,357,8
107,4.43,0,25,200,13,166,11,8,47,30,358,7
109,4.043715847,0,16.6363636364,183,9,149,17,11,43,15,360,6
160,4.3003802281,3,26.3,263,23,220,20,10,66,23,363,8
20,4.347826087,0,23,23,2,18,1,1,7,1,449,2
224,4.3819188192,2,11.7826086957,542,37,445,52,46,134,68,361,10
213,4.1915789474,1,16.9642857143,475,49,407,73,28,117,46,362,10
252,4.7647058824,1,18.59375,595,48,492,85,32,151,87,364,11
232,4.4840182648,1,15.6428571429,438,34,343,62,28,129,53,365,9
187,4.0294117647,1,12.8965517241,374,18,299,45,29,93,27,366,8
169,4.3706896552,1,20.4705882353,348,24,286,34,17,86,43,367,8
158,4.5173501577,1,15.0952380952,317,20,246,39,21,91,47,368,9
134,4.337398374,2,13.6666666667,246,11,191,37,18,66,25,369,8
284,4.4576547231,1,18.6060606061,614,43,481,75,33,176,78,370,10
159,4.1550151976,0,13.7083333333,329,16,269,47,24,76,27,371,8
188,4.4121475054,1,13.5588235294,461,41,370,64,34,132,53,372,10
151,4.5289855072,0,14.5263157895,276,17,221,39,19,72,42,373,8
203,4.156097561,1,45.5555555556,410,22,344,15,9,88,46,374,7
65,3.5849056604,0,31.8,159,10,133,5,5,36,5,375,4
186,4.249452954,2,26.8823529412,457,28,349,23,17,136,47,376,8
238,4.4730021598,3,15.4333333333,463,32,371,49,30,124,61,377,10
219,4.1479915433,3,15.2580645161,473,26,391,56,31,108,49,378,11
204,4.0920770878,4,16.1034482759,467,31,392,42,29,106,45,379,9
155,4.3333333333,2,14.8571428571,312,27,256,47,21,83,38,380,10
218,4.2431865828,1,13.25,477,41,392,52,36,126,50,381,10
134,4.3522267206,0,11.2272727273,247,14,198,32,22,63,23,382,7
216,4.3882113821,2,16.4,492,26,412,53,30,106,50,383,11
127,4.1818181818,0,16.8666666667,253,22,212,29,15,63,20,384,8
276,4.7059773829,3,16.7297297297,619,52,470,59,37,201,98,385,11
184,3.8881431767,5,18.625,447,29,375,42,24,101,32,386,10
182,4.6309148265,1,16.6842105263,317,30,260,35,19,87,51,387,8
158,4.1438848921,1,15.4444444444,278,16,225,26,18,69,30,388,7
169,4.4276527331,0,14.8095238095,311,28,275,33,21,64,31,389,8
181,4.1299303944,0,19.5909090909,431,29,370,41,22,90,44,390,10
238,4.2296296296,0,15.8823529412,540,42,462,56,34,120,64,391,12
156,4.3444730077,3,13.8928571429,389,28,328,30,28,89,38,392,8
155,4.3642172524,1,13.0416666667,313,28,272,37,24,69,27,393,8
80,4.0426829268,0,12.6153846154,164,14,145,17,13,33,12,394,7
112,3.8612716763,2,17.3,173,9,142,13,10,40,13,395,6
144,4.0497237569,1,27.8461538462,362,22,291,22,13,93,30,396,7
288,4.2645502646,3,15.3243243243,567,51,498,58,37,120,59,397,10
238,4.5502392344,1,19.9047619048,418,36,357,50,21,97,43,398,10
202,4.2948113208,1,21.2,424,29,345,37,20,108,48,399,8
187,4.5415472779,1,15.1739130435,349,28,279,41,23,98,40,400,8
95,4.2721518987,3,19.75,158,9,127,9,8,40,12,401,6
145,4.4879725086,1,13.8571428571,291,14,216,25,21,89,31,402,8
